VARIABLES="N"	"C<sub>d</sub>"	"1/sqrt(DOF)"	"C<sub>d</sub> Error"	"Work Units"
ZONE T="Slope 2"
ZONE T="MIT DG Quad P2"
4608	0.124918847	1.47313912747197E-002	3.01873661E-03	0
18432	0.1221472892	7.36569563735987E-003	2.47178796E-04	0
73728	0.1219126456	3.68284781867994E-003	1.25351609E-05	0
294912	0.1219004693	1.84142390933997E-003	3.58946165E-07	0
1179648	0.121899819	9.20711954669984E-004	2.91406206E-07	0

ZONE T="MIT DG Quad P3"
8192	0.122392783	1.10485434560398E-002	4.92672593E-04	0
32768	0.1219084996	5.52427172801990E-003	8.38921489E-06	0
131072	0.121899848	2.76213586400995E-003	2.62422797E-07	0
524288	0.1218997594	1.38106793200498E-003	3.50951906E-07	0
2097152	0.1218999304	6.90533966002488E-004	1.80050298E-07	0

ZONE T="MIT DG Quad P4"
12800	0.1219647688	8.83883476483184E-003	6.46584224E-05	0
51200	0.1219002377	4.41941738241592E-003	1.27285094E-07	0
204800	0.1218997344	2.20970869120796E-003	3.75970906E-07	0
819200	0.1218998677	1.10485434560398E-003	2.42713118E-07	0


ZONE T="UM DG MOESS P1"
1.40E+03	1.32977151E-01	2.67165843E-02	1.11E-02	7.93E-02
2.02E+03	1.24204659E-01	2.22552174E-02	2.31E-03	4.13E-01
2.08E+03	1.23678061E-01	2.19317232E-02	1.78E-03	1.05E+00
2.02E+03	1.23214956E-01	2.22552174E-02	1.32E-03	1.58E+00
2.01E+03	1.23325619E-01	2.23216510E-02	1.43E-03	2.07E+00
2.04E+03	1.23042900E-01	2.21566698E-02	1.14E-03	2.45E+00
2.04E+03	1.23188159E-01	2.21403721E-02	1.29E-03	2.76E+00
2.04E+03	1.23188159E-01	2.21403721E-02	1.29E-03	2.77E+00
3.17E+03	1.22650991E-01	1.77583201E-02	7.51E-04	3.17E+00
4.04E+03	1.22420180E-01	1.57426642E-02	5.21E-04	3.87E+00
4.01E+03	1.22414183E-01	1.57956006E-02	5.15E-04	4.78E+00
3.95E+03	1.22349194E-01	1.59030955E-02	4.50E-04	5.70E+00
3.95E+03	1.22370196E-01	1.59030955E-02	4.71E-04	6.61E+00
3.97E+03	1.22340378E-01	1.58730159E-02	4.41E-04	7.47E+00
3.97E+03	1.22340378E-01	1.58730159E-02	4.41E-04	7.48E+00
5.39E+03	1.22214643E-01	1.36234219E-02	3.15E-04	8.52E+00
7.61E+03	1.22082122E-01	1.14602361E-02	1.83E-04	1.03E+01
7.84E+03	1.22070581E-01	1.12924085E-02	1.71E-04	1.32E+01
7.88E+03	1.22045389E-01	1.12622896E-02	1.46E-04	1.63E+01
7.94E+03	1.22060758E-01	1.12217968E-02	1.61E-04	1.95E+01
7.92E+03	1.22049131E-01	1.12366644E-02	1.50E-04	2.26E+01
7.92E+03	1.22049131E-01	1.12366644E-02	1.50E-04	2.26E+01
1.25E+04	1.21991100E-01	8.96113471E-03	9.15E-05	2.63E+01
1.57E+04	1.21966026E-01	7.98875973E-03	6.64E-05	3.58E+01
1.58E+04	1.21961374E-01	7.95305645E-03	6.18E-05	4.64E+01
1.58E+04	1.21953971E-01	7.96212666E-03	5.44E-05	5.69E+01
1.57E+04	1.21957617E-01	7.97122797E-03	5.80E-05	6.75E+01
1.57E+04	1.21955875E-01	7.98646642E-03	5.63E-05	7.83E+01
1.57E+04	1.21955875E-01	7.98646642E-03	5.63E-05	7.84E+01
2.44E+04	1.21933099E-01	6.40709787E-03	3.35E-05	9.55E+01
3.11E+04	1.21925764E-01	5.67148286E-03	2.62E-05	1.23E+02
3.14E+04	1.21922636E-01	5.63946638E-03	2.30E-05	1.60E+02
3.17E+04	1.21922970E-01	5.61461161E-03	2.34E-05	1.97E+02
3.16E+04	1.21920059E-01	5.62419378E-03	2.05E-05	2.35E+02
3.15E+04	1.21920897E-01	5.63168058E-03	2.13E-05	2.73E+02

ZONE T="UM DG MOESS P2"
2.80E+03	1.24217050E-01	1.88914779E-02	2.32E-03	7.89E-02
2.20E+03	1.23888107E-01	2.13103873E-02	1.99E-03	5.07E-01
2.17E+03	1.22692888E-01	2.14867521E-02	7.93E-04	8.33E-01
2.11E+03	1.22364836E-01	2.17906817E-02	4.65E-04	1.17E+00
2.15E+03	1.22279013E-01	2.15465207E-02	3.79E-04	1.46E+00
2.14E+03	1.22120775E-01	2.16371161E-02	2.21E-04	1.76E+00
2.12E+03	1.22050243E-01	2.16981518E-02	1.51E-04	2.07E+00
2.12E+03	1.22050243E-01	2.16981518E-02	1.51E-04	2.07E+00
2.96E+03	1.22003920E-01	1.83679590E-02	1.04E-04	2.41E+00
3.82E+03	1.21964542E-01	1.61880977E-02	6.50E-05	2.89E+00
4.00E+03	1.21955613E-01	1.58074369E-02	5.60E-05	3.49E+00
4.06E+03	1.21952398E-01	1.57018573E-02	5.28E-05	4.10E+00
4.06E+03	1.21946072E-01	1.57018573E-02	4.65E-05	4.70E+00
4.03E+03	1.21940895E-01	1.57602505E-02	4.13E-05	5.35E+00
4.03E+03	1.21940895E-01	1.57602505E-02	4.13E-05	5.37E+00
6.13E+03	1.21921316E-01	1.27702361E-02	2.17E-05	6.16E+00
7.84E+03	1.21913788E-01	1.12967310E-02	1.42E-05	7.40E+00
8.05E+03	1.21910087E-01	1.11483344E-02	1.05E-05	8.93E+00
7.91E+03	1.21910879E-01	1.12409231E-02	1.13E-05	1.05E+01
7.86E+03	1.21908067E-01	1.12794709E-02	8.48E-06	1.20E+01
7.87E+03	1.21909688E-01	1.12751682E-02	1.01E-05	1.36E+01
